400.72	8457.70
400.95	2745.50
401.18	2730.70
401.41	2731.00
401.64	7587.20
401.87	7417.90
402.10	8995.70
402.33	8856.90
402.56	7905.20
402.79	9233.70
403.02	8906.20
403.25	8099.90
403.48	8388.70
403.72	9599.90
403.95	9756.20
404.18	9003.60
404.41	8957.90
404.64	9338.00
404.87	8577.00
405.10	10032.50
405.33	8628.00
405.56	8321.90
405.79	8817.40
406.02	9391.60
406.25	9433.30
406.48	8935.40
406.71	9200.80
406.94	10263.40
407.17	7535.20
407.41	9331.00
407.64	9675.40
407.87	8724.50
408.10	8470.60
408.33	9733.50
408.56	9625.70
408.79	7958.60
409.02	10589.90
409.25	9489.50
409.48	9807.40
409.71	9368.20
409.94	10333.40
410.17	8691.20
410.40	10049.70
410.63	9299.90
410.86	9637.90
411.09	9957.30
411.32	8423.90
411.55	8949.50
411.78	12300.50
412.01	9710.40
412.24	8926.20
412.47	8472.90
412.70	8690.50
412.93	9270.70
413.16	9111.30
413.39	9734.20
413.62	8660.40
413.85	10080.70
414.08	9665.10
414.31	10181.70
414.54	10474.00
414.77	8685.60
415.00	10266.30
415.23	8965.20
415.47	9617.10
415.70	8170.00
415.93	9831.60
416.16	10407.70
416.39	9249.50
416.62	8729.20
416.85	10712.10
417.08	8815.00
417.31	9128.00
417.53	8768.80
417.76	10251.60
417.99	11415.90
418.22	9409.00
418.45	8868.40
418.68	9536.40
418.91	9568.70
419.14	9846.60
419.37	10912.20
419.60	9487.60
419.83	11630.50
420.06	8648.60
420.29	9088.40
420.52	8474.00
420.75	9900.70
420.98	8704.50
421.21	8730.10
421.44	15612.60
421.67	10094.00
421.90	9455.10
422.13	9924.40
422.36	10470.80
422.59	12842.60
422.82	8505.80
423.05	9023.80
423.28	9877.00
423.51	9754.00
423.74	9602.00
423.97	8915.50
424.20	9008.10
424.43	9622.20
424.66	8813.00
424.89	8899.30
425.12	8425.30
425.35	9933.50
425.57	8926.70
425.80	10080.90
426.03	9451.70
426.26	9429.20
426.49	8757.80
426.72	9129.50
426.95	10116.40
427.18	10447.20
427.41	10663.30
427.64	9539.50
427.87	9675.10
428.10	8922.60
428.33	10413.60
428.56	9235.30
428.79	8880.60
429.02	8770.30
429.24	9406.20
429.47	9401.80
429.70	9581.40
429.93	9130.20
430.16	8571.00
430.39	8049.30
430.62	10139.30
430.85	10202.30
431.08	10587.90
431.31	8195.10
431.54	11575.80
431.77	7996.60
431.99	8757.70
432.22	8363.20
432.45	10043.30
432.68	9743.20
432.91	10399.20
433.14	9717.20
433.37	9119.30
433.60	9098.20
433.83	8232.30
434.06	10040.60
434.28	9118.80
434.51	9267.10
434.74	9294.00
434.97	10131.30
435.20	9148.70
435.43	9133.90
435.66	10014.70
435.89	10261.20
436.12	9699.40
436.35	8499.10
436.57	9528.60
436.80	10592.30
437.03	8846.90
437.26	10084.00
437.49	9196.10
437.72	10372.30
437.95	8816.90
438.18	9134.20
438.40	9814.60
438.63	10125.50
438.86	8957.50
439.09	9063.70
439.32	8294.30
439.55	10003.70
439.78	9709.90
440.00	9422.20
440.23	11378.60
440.46	9201.80
440.69	8343.70
440.92	8906.60
441.15	9831.00
441.38	8210.90
441.61	11117.00
441.83	10142.80
442.06	10802.90
442.29	10521.70
442.52	9809.10
442.75	8664.20
442.98	9091.50
